Section,Subsection,Checklist Item,Status,Priority,Stage,Gate,Reference,Notes
=== AI PRODUCTION READINESS CHECKLIST ===,,,,,,,,
Created by Aejaz Sheriff at Pragmatic Logic AI,,,,,,,,
https://pragmaticlogic.ai | https://github.com/asq-sheriff/AI-Production-Checklist,,,,,,,,
,,,,,,,,
=== PLEASE CREDIT ===,,,,,,,,
"If you find this helpful, please star the repo and credit:",,,,,,,,
"AI Production Readiness Checklist by Aejaz Sheriff at Pragmatic Logic AI",,,,,,,,
,,,,,,,,
=== SCORING GUIDE ===,,,,,,,,
"0-20% = Prototype (Not ready for users)",,,,,,,,
"21-40% = Alpha (Internal testing only)",,,,,,,,
"41-60% = Beta (Limited external users)",,,,,,,,
"61-80% = Production Ready (General availability)",,,,,,,,
"81-100% = Enterprise Grade (Mission-critical)",,,,,,,,
,,,,,,,,
=== LIFECYCLE STAGES ===,,,,,,,,
"1. Ideation - Define opportunity, align stakeholders",,,,,,,,
"2. Discovery - Assess technical and business feasibility",,,,,,,,
"3. POC - Prove technical viability",,,,,,,,
"4. MVP - Build working prototype",,,,,,,,
"5. Pilot - Validate in real-world conditions",,,,,,,,
"6. Production - Deploy to all users",,,,,,,,
"7. Scale - Expand reach and optimize",,,,,,,,
"8. Optimize - Continuous improvement",,,,,,,,
,,,,,,,,
=== GATE TYPES ===,,,,,,,,
"Mandatory - Must have before proceeding (blocks deployment)",,,,,,,,
"Advisory - Should have (recommended but not blocking)",,,,,,,,
"Configurable - Nice to have (depends on context)",,,,,,,,
,,,,,,,,
=== COMPANION DOCUMENTS ===,,,,,,,,
"docs/TECHNOLOGY-SELECTION-GUIDE.md - RAG patterns, agent architectures, framework comparisons",,,,,,,,
"docs/FAILURE-TAXONOMY.md - Training-serving skew, data leakage, technical debt patterns",,,,,,,,
"docs/CASE-STUDIES.md - $15B+ AI failures: Zillow, Amazon, Epic case studies",,,,,,,,
"docs/HEALTHCARE-AI-CASE-STUDIES.md - Clinical AI safety, crisis detection",,,,,,,,
"docs/LIFECYCLE-STAGES.md - Stage gates, deployment procedures",,,,,,,,
"docs/MLOPS-MATURITY-MODEL.md - Maturity levels, observability patterns",,,,,,,,
"docs/ASSURED-INTELLIGENCE.md - Conformal Prediction, Calibration, Causal AI",,,,,,,,
,,,,,,,,
Architecture & Design,AI-Native Blueprint,Data lakehouse combining flexibility with structure,[ ],High,Discovery,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Governed data pipelines ensuring quality and compliance,[ ],Critical,Discovery,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Semantic layers for consistent definitions,[ ],Medium,POC,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Specialized infrastructure for LLMs and prompt management,[ ],High,POC,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,MLOps integration with CI/CD for models & prompts,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Bias checks and red-teaming processes,[ ],Critical,Pilot,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Safety/quality gates and runtime guardrails,[ ],Critical,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Prompts and model configs as versioned artifacts,[ ],High,POC,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Kubernetes with GPU operators,[ ],Medium,Production,Configurable,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,AI-Native Blueprint,Autoscaling and mixed precision configured,[ ],Medium,Scale,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Data Pipeline,Defined data ingestion strategy,[ ],Critical,Discovery,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Data Pipeline,Implemented data validation and quality checks,[ ],High,POC,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Data Pipeline,Set up data versioning system,[ ],Medium,MVP,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Data Pipeline,Created data lineage tracking,[ ],Medium,MVP,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Data Pipeline,Established data retention policies,[ ],High,Pilot,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Data Pipeline,Schema validation with real-time checks,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Data Pipeline,Data contracts between producers/consumers,[ ],Medium,Production,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Model Architecture,Evaluated multiple model options,[ ],High,POC,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Model Architecture,Performed cost-benefit analysis,[ ],High,POC,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Model Architecture,Tested fallback models,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Model Architecture,Documented model limitations,[ ],Medium,MVP,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,Model Architecture,Created model cards,[ ],Medium,Pilot,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,RAG Implementation,Designed chunking strategy,[ ],High,POC,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,RAG Implementation,Optimized embedding dimensions,[ ],Medium,MVP,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,RAG Implementation,Implemented hybrid search (vector + keyword),[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,RAG Implementation,Set up reranking pipeline,[ ],Medium,Pilot,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,RAG Implementation,Configured context window management,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,System Architecture,Loose coupling - Agents as services,[ ],High,POC,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,System Architecture,Clear interfaces - APIs and event buses,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,System Architecture,Policy-driven control with guardrails,[ ],High,Pilot,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,System Architecture,Zero-trust security for agents,[ ],Critical,Pilot,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Architecture & Design,System Architecture,Versioning and rollback automation,[ ],High,Production,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
,,,,,,,,
Data Quality & Statistical Validity,Training-Serving Skew,Single Pipeline Architecture (no dual-pipeline),[ ],Critical,MVP,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Training-Serving Skew,Feature Store implemented for consistency,[ ],Critical,MVP,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Training-Serving Skew,Schema enforcement at inference time,[ ],High,Pilot,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Training-Serving Skew,Numerical precision parity across environments,[ ],High,Pilot,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Training-Serving Skew,Time zone handling standardized (UTC),[ ],Medium,MVP,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Training-Serving Skew,Missing value strategy production-identical,[ ],High,Pilot,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Training-Serving Skew,Shadow mode validation for new models,[ ],High,Pilot,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Data Leakage Prevention,Target leakage audit completed,[ ],Critical,POC,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Data Leakage Prevention,Train-test contamination check passed,[ ],Critical,POC,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Data Leakage Prevention,Temporal discipline (chronological splits),[ ],High,POC,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Data Leakage Prevention,Feature provenance documented,[ ],Medium,MVP,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Data Leakage Prevention,Leakage detection tests automated,[ ],High,Pilot,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Data Leakage Prevention,Cross-validation strategy appropriate,[ ],Medium,POC,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Distribution Drift,Covariate shift monitoring (KS-test PSI),[ ],High,Production,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Distribution Drift,Concept drift detection with feedback loops,[ ],Critical,Production,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Distribution Drift,Label shift tracking implemented,[ ],High,Production,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Distribution Drift,Automated retraining triggers configured,[ ],High,Scale,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Distribution Drift,Windowed performance tracking,[ ],Medium,Production,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,Distribution Drift,Seasonality patterns factored in,[ ],Medium,Optimize,Configurable,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,External Validation,Multi-source validation completed,[ ],High,Pilot,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,External Validation,Demographic stratification tested,[ ],High,Pilot,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,External Validation,Geographic validation (if applicable),[ ],Medium,Pilot,Configurable,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,External Validation,Temporal holdout validation done,[ ],High,Pilot,Mandatory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,External Validation,Site-specific calibration plan exists,[ ],High,Production,Advisory,docs/FAILURE-TAXONOMY.md,
Data Quality & Statistical Validity,External Validation,Model card with external results,[ ],Medium,Production,Advisory,docs/FAILURE-TAXONOMY.md,
,,,,,,,,
Agentic AI & MAS,Task-Oriented Agents,Clear success criteria defined,[ ],High,POC,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,Task-Oriented Agents,Error handling and retry logic implemented,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,Task-Oriented Agents,High reliability for repeatable operations,[ ],High,Pilot,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,Multi-Agent Collaboration,Communication patterns established,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,Multi-Agent Collaboration,Cross-check outputs to reduce hallucinations,[ ],High,Pilot,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,Multi-Agent Collaboration,Conflict resolution mechanisms,[ ],Medium,Pilot,Advisory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,Multi-Agent Collaboration,Distributed expertise coordination,[ ],Medium,Production,Configurable,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,MAS Architecture,Agents with distinct roles and contexts,[ ],High,MVP,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
Agentic AI & MAS,MAS Architecture,Human-in-the-loop for critical scenarios,[ ],Critical,Pilot,Mandatory,docs/TECHNOLOGY-SELECTION-GUIDE.md,
